batch_size,epoch,rank,batch,fwd_start, fwd_data_rcvd, fwd_calc_done, fwd_end, bwd_start, bwd_data_rcvd, bwd_calc_done, bwd_end, opt_start, opt_end
512, 0, 0, 0, 1590957001.168, 1590957015.374, 1590957022.111, 1590957022.111, 1590957022.141, 1590957022.141, 1590957030.793, 1590957030.793, 1590957030.793, 1590957030.796
512, 0, 0, 1, 1590957030.796, 1590957030.797, 1590957030.875, 1590957030.875, 1590957031.109, 1590957031.109, 1590957031.628, 1590957031.628, 1590957031.628, 1590957031.63
512, 0, 0, 2, 1590957031.63, 1590957031.63, 1590957031.636, 1590957031.636, 1590957031.942, 1590957031.942, 1590957032.427, 1590957032.427, 1590957032.427, 1590957032.428
512, 0, 0, 3, 1590957032.428, 1590957032.429, 1590957032.433, 1590957032.433, 1590957032.746, 1590957032.746, 1590957033.229, 1590957033.229, 1590957033.229, 1590957033.231
512, 0, 0, 4, 1590957033.231, 1590957033.231, 1590957033.236, 1590957033.236, 1590957033.561, 1590957033.561, 1590957034.059, 1590957034.059, 1590957034.059, 1590957034.06
512, 0, 0, 5, 1590957034.06, 1590957034.06, 1590957034.065, 1590957034.065, 1590957034.367, 1590957034.367, 1590957034.871, 1590957034.872, 1590957034.872, 1590957034.873
512, 0, 0, 6, 1590957034.873, 1590957034.874, 1590957034.879, 1590957034.879, 1590957035.173, 1590957035.173, 1590957035.664, 1590957035.664, 1590957035.664, 1590957035.665
512, 0, 0, 7, 1590957035.665, 1590957035.666, 1590957035.67, 1590957035.67, 1590957035.987, 1590957035.987, 1590957036.464, 1590957036.464, 1590957036.464, 1590957036.466
512, 0, 0, 8, 1590957036.466, 1590957036.466, 1590957036.471, 1590957036.471, 1590957036.774, 1590957036.774, 1590957037.276, 1590957037.276, 1590957037.277, 1590957037.278
512, 0, 0, 9, 1590957037.278, 1590957037.279, 1590957037.284, 1590957037.284, 1590957037.587, 1590957037.587, 1590957038.083, 1590957038.083, 1590957038.083, 1590957038.085
512, 0, 0, 10, 1590957038.085, 1590957038.085, 1590957038.089, 1590957038.089, 1590957038.392, 1590957038.392, 1590957038.882, 1590957038.882, 1590957038.882, 1590957038.884
512, 0, 0, 11, 1590957038.884, 1590957038.884, 1590957038.889, 1590957038.889, 1590957039.187, 1590957039.187, 1590957039.676, 1590957039.676, 1590957039.676, 1590957039.677
