batch_size,epoch,rank,batch,fwd_start, fwd_data_rcvd, fwd_calc_done, fwd_end, bwd_start, bwd_data_rcvd, bwd_calc_done, bwd_end, opt_start, opt_end
512, 0, 0, 0, 1590957754.201, 1590957762.055, 1590957768.68, 1590957768.68, 1590957768.792, 1590957768.792, 1590957775.148, 1590957775.148, 1590957775.148, 1590957775.15
512, 0, 0, 1, 1590957775.15, 1590957775.151, 1590957775.233, 1590957775.233, 1590957775.497, 1590957775.497, 1590957775.51, 1590957775.51, 1590957775.51, 1590957775.511
512, 0, 0, 2, 1590957775.511, 1590957775.512, 1590957775.515, 1590957775.515, 1590957776.225, 1590957776.225, 1590957776.232, 1590957776.232, 1590957776.232, 1590957776.233
512, 0, 0, 3, 1590957776.233, 1590957776.234, 1590957776.238, 1590957776.238, 1590957776.954, 1590957776.954, 1590957776.96, 1590957776.96, 1590957776.96, 1590957776.962
512, 0, 0, 4, 1590957776.962, 1590957776.962, 1590957776.966, 1590957776.966, 1590957777.674, 1590957777.674, 1590957777.681, 1590957777.681, 1590957777.681, 1590957777.683
512, 0, 0, 5, 1590957777.683, 1590957777.684, 1590957777.689, 1590957777.689, 1590957778.388, 1590957778.388, 1590957778.395, 1590957778.395, 1590957778.395, 1590957778.396
512, 0, 0, 6, 1590957778.396, 1590957778.397, 1590957778.4, 1590957778.4, 1590957779.115, 1590957779.115, 1590957779.122, 1590957779.122, 1590957779.122, 1590957779.123
512, 0, 0, 7, 1590957779.123, 1590957779.124, 1590957779.127, 1590957779.127, 1590957779.838, 1590957779.838, 1590957779.845, 1590957779.845, 1590957779.845, 1590957779.846
512, 0, 0, 8, 1590957779.846, 1590957779.847, 1590957779.851, 1590957779.851, 1590957780.561, 1590957780.561, 1590957780.568, 1590957780.568, 1590957780.568, 1590957780.569
512, 0, 0, 9, 1590957780.569, 1590957780.57, 1590957780.573, 1590957780.573, 1590957781.285, 1590957781.285, 1590957781.291, 1590957781.291, 1590957781.291, 1590957781.293
512, 0, 0, 10, 1590957781.293, 1590957781.293, 1590957781.298, 1590957781.298, 1590957782.007, 1590957782.007, 1590957782.014, 1590957782.014, 1590957782.014, 1590957782.017
512, 0, 0, 11, 1590957782.017, 1590957782.017, 1590957782.021, 1590957782.021, 1590957782.729, 1590957782.729, 1590957782.736, 1590957782.736, 1590957782.736, 1590957782.737
512, 0, 0, 12, 1590957782.737, 1590957782.738, 1590957782.745, 1590957782.745, 1590957783.443, 1590957783.443, 1590957783.467, 1590957783.467, 1590957783.468, 1590957783.47
512, 0, 0, 13, 1590957783.47, 1590957783.471, 1590957783.58, 1590957783.58, 1590957784.175, 1590957784.175, 1590957784.183, 1590957784.183, 1590957784.183, 1590957784.185
512, 0, 0, 14, 1590957784.185, 1590957784.186, 1590957784.19, 1590957784.19, 1590957784.893, 1590957784.893, 1590957784.901, 1590957784.901, 1590957784.902, 1590957784.904
512, 0, 0, 15, 1590957784.904, 1590957784.904, 1590957784.908, 1590957784.908, 1590957785.624, 1590957785.624, 1590957785.641, 1590957785.641, 1590957785.641, 1590957785.644
512, 0, 0, 16, 1590957785.644, 1590957785.645, 1590957785.652, 1590957785.652, 1590957786.341, 1590957786.341, 1590957786.362, 1590957786.362, 1590957786.363, 1590957786.365
512, 0, 0, 17, 1590957786.365, 1590957786.366, 1590957786.373, 1590957786.373, 1590957787.07, 1590957787.07, 1590957787.08, 1590957787.08, 1590957787.081, 1590957787.082
512, 0, 0, 18, 1590957787.082, 1590957787.083, 1590957787.087, 1590957787.087, 1590957787.811, 1590957787.811, 1590957787.927, 1590957787.927, 1590957787.927, 1590957787.93
512, 0, 0, 19, 1590957787.93, 1590957787.931, 1590957787.939, 1590957787.939, 1590957788.546, 1590957788.546, 1590957788.553, 1590957788.553, 1590957788.553, 1590957788.554
512, 0, 0, 20, 1590957788.554, 1590957788.555, 1590957788.559, 1590957788.559, 1590957789.262, 1590957789.262, 1590957789.269, 1590957789.269, 1590957789.269, 1590957789.271
512, 0, 0, 21, 1590957789.271, 1590957789.272, 1590957789.279, 1590957789.279, 1590957789.984, 1590957789.984, 1590957790.13, 1590957790.13, 1590957790.13, 1590957790.142
512, 0, 0, 22, 1590957790.142, 1590957790.152, 1590957790.16, 1590957790.16, 1590957790.724, 1590957790.724, 1590957790.749, 1590957790.749, 1590957790.749, 1590957790.752
512, 0, 0, 23, 1590957790.752, 1590957790.753, 1590957790.867, 1590957790.867, 1590957791.452, 1590957791.452, 1590957791.458, 1590957791.458, 1590957791.459, 1590957791.46
512, 0, 0, 24, 1590957791.46, 1590957791.46, 1590957791.464, 1590957791.464, 1590957792.169, 1590957792.169, 1590957792.177, 1590957792.177, 1590957792.177, 1590957792.179
512, 0, 0, 25, 1590957792.179, 1590957792.18, 1590957792.184, 1590957792.184, 1590957792.895, 1590957792.895, 1590957792.906, 1590957792.906, 1590957792.906, 1590957792.908
512, 0, 0, 26, 1590957792.908, 1590957792.908, 1590957792.914, 1590957792.914, 1590957793.629, 1590957793.629, 1590957793.636, 1590957793.636, 1590957793.636, 1590957793.637
512, 0, 0, 27, 1590957793.637, 1590957793.638, 1590957793.641, 1590957793.641, 1590957794.351, 1590957794.351, 1590957794.358, 1590957794.358, 1590957794.358, 1590957794.359
512, 0, 0, 28, 1590957794.359, 1590957794.36, 1590957794.363, 1590957794.363, 1590957795.069, 1590957795.069, 1590957795.076, 1590957795.076, 1590957795.076, 1590957795.077
512, 0, 0, 29, 1590957795.077, 1590957795.078, 1590957795.081, 1590957795.081, 1590957795.787, 1590957795.787, 1590957795.793, 1590957795.793, 1590957795.794, 1590957795.795
512, 0, 0, 30, 1590957795.795, 1590957795.796, 1590957795.8, 1590957795.8, 1590957796.508, 1590957796.508, 1590957796.515, 1590957796.515, 1590957796.515, 1590957796.516
512, 0, 0, 31, 1590957796.516, 1590957796.517, 1590957796.522, 1590957796.522, 1590957797.233, 1590957797.233, 1590957797.249, 1590957797.249, 1590957797.249, 1590957797.252
512, 0, 0, 32, 1590957797.252, 1590957797.253, 1590957797.261, 1590957797.261, 1590957797.957, 1590957797.957, 1590957797.964, 1590957797.964, 1590957797.964, 1590957797.966
512, 0, 0, 33, 1590957797.966, 1590957797.966, 1590957797.97, 1590957797.97, 1590957798.675, 1590957798.675, 1590957798.812, 1590957798.812, 1590957798.813, 1590957798.815
512, 0, 0, 34, 1590957798.815, 1590957798.816, 1590957798.824, 1590957798.824, 1590957799.404, 1590957799.404, 1590957799.41, 1590957799.41, 1590957799.411, 1590957799.412
512, 0, 0, 35, 1590957799.412, 1590957799.412, 1590957799.416, 1590957799.416, 1590957800.124, 1590957800.124, 1590957800.131, 1590957800.131, 1590957800.131, 1590957800.132
512, 0, 0, 36, 1590957800.132, 1590957800.133, 1590957800.137, 1590957800.137, 1590957800.858, 1590957800.858, 1590957800.881, 1590957800.881, 1590957800.881, 1590957800.885
512, 0, 0, 37, 1590957800.885, 1590957801.005, 1590957801.013, 1590957801.013, 1590957801.586, 1590957801.586, 1590957801.724, 1590957801.724, 1590957801.725, 1590957801.728
512, 0, 0, 38, 1590957801.728, 1590957801.729, 1590957801.736, 1590957801.737, 1590957802.312, 1590957802.312, 1590957802.332, 1590957802.332, 1590957802.332, 1590957802.336
512, 0, 0, 39, 1590957802.336, 1590957802.339, 1590957802.442, 1590957802.442, 1590957803.037, 1590957803.037, 1590957803.044, 1590957803.044, 1590957803.044, 1590957803.045
512, 0, 0, 40, 1590957803.045, 1590957803.046, 1590957803.05, 1590957803.05, 1590957803.769, 1590957803.769, 1590957803.931, 1590957803.931, 1590957803.931, 1590957803.934
512, 0, 0, 41, 1590957803.934, 1590957803.935, 1590957803.943, 1590957803.943, 1590957804.501, 1590957804.501, 1590957804.508, 1590957804.508, 1590957804.508, 1590957804.509
512, 0, 0, 42, 1590957804.509, 1590957804.509, 1590957804.513, 1590957804.513, 1590957805.218, 1590957805.218, 1590957805.242, 1590957805.242, 1590957805.242, 1590957805.245
512, 0, 0, 43, 1590957805.245, 1590957805.246, 1590957805.383, 1590957805.383, 1590957805.952, 1590957805.952, 1590957805.959, 1590957805.959, 1590957805.96, 1590957805.962
512, 0, 0, 44, 1590957805.962, 1590957805.964, 1590957805.969, 1590957805.969, 1590957806.678, 1590957806.678, 1590957806.684, 1590957806.685, 1590957806.685, 1590957806.686
512, 0, 0, 45, 1590957806.686, 1590957806.687, 1590957806.692, 1590957806.692, 1590957807.401, 1590957807.401, 1590957807.412, 1590957807.412, 1590957807.412, 1590957807.413
512, 0, 0, 46, 1590957807.413, 1590957807.414, 1590957807.418, 1590957807.418, 1590957808.122, 1590957808.122, 1590957808.257, 1590957808.257, 1590957808.257, 1590957808.261
512, 0, 0, 47, 1590957808.261, 1590957808.268, 1590957808.278, 1590957808.278, 1590957808.854, 1590957808.854, 1590957808.865, 1590957808.865, 1590957808.865, 1590957808.866
512, 0, 0, 48, 1590957808.866, 1590957808.866, 1590957808.87, 1590957808.87, 1590957809.575, 1590957809.575, 1590957809.581, 1590957809.581, 1590957809.581, 1590957809.583
512, 0, 0, 49, 1590957809.583, 1590957809.583, 1590957809.587, 1590957809.587, 1590957810.297, 1590957810.297, 1590957810.448, 1590957810.448, 1590957810.448, 1590957810.451
