batch_size,epoch,rank,batch,fwd_start, fwd_data_rcvd, fwd_calc_done, fwd_end, bwd_start, bwd_data_rcvd, bwd_calc_done, bwd_end, opt_start, opt_end
512, 0, 0, 0, 1590992104.212, 1590992112.995, 1590992114.243, 1590992114.243, 1590992115.04, 1590992126.885, 1590992127.336, 1590992127.337, 1590992127.337, 1590992127.339
512, 0, 0, 1, 1590992114.243, 1590992114.362, 1590992114.366, 1590992114.366, 1590992127.662, 1590992127.662, 1590992127.667, 1590992127.667, 1590992127.668, 1590992127.668
512, 0, 0, 2, 1590992114.366, 1590992114.495, 1590992114.625, 1590992114.625, 1590992127.999, 1590992128.387, 1590992128.388, 1590992128.388, 1590992128.388, 1590992128.389
512, 0, 0, 3, 1590992114.625, 1590992114.834, 1590992114.842, 1590992114.842, 1590992128.707, 1590992129.29, 1590992129.291, 1590992129.291, 1590992129.292, 1590992129.293
512, 0, 0, 4, 1590992127.339, 1590992127.34, 1590992127.38, 1590992127.38, 1590992129.739, 1590992129.997, 1590992129.998, 1590992129.998, 1590992129.999, 1590992129.999
512, 0, 0, 5, 1590992127.669, 1590992127.67, 1590992127.67, 1590992127.67, 1590992130.302, 1590992130.541, 1590992130.542, 1590992130.542, 1590992130.542, 1590992130.543
512, 0, 0, 6, 1590992128.389, 1590992128.39, 1590992128.391, 1590992128.391, 1590992130.902, 1590992131.363, 1590992131.363, 1590992131.363, 1590992131.364, 1590992131.364
512, 0, 0, 7, 1590992129.293, 1590992129.294, 1590992129.294, 1590992129.294, 1590992131.714, 1590992131.991, 1590992131.991, 1590992131.991, 1590992131.992, 1590992131.993
512, 0, 0, 8, 1590992129.999, 1590992130.0, 1590992130.001, 1590992130.001, 1590992132.424, 1590992133.0, 1590992133.001, 1590992133.001, 1590992133.002, 1590992133.003
512, 0, 0, 9, 1590992130.543, 1590992130.544, 1590992130.544, 1590992130.544, 1590992133.376, 1590992133.428, 1590992133.429, 1590992133.429, 1590992133.429, 1590992133.43
512, 0, 0, 10, 1590992131.364, 1590992131.365, 1590992131.365, 1590992131.365, 1590992133.79, 1590992134.116, 1590992134.117, 1590992134.117, 1590992134.118, 1590992134.118
512, 0, 0, 11, 1590992131.993, 1590992131.993, 1590992131.994, 1590992131.994, 1590992134.523, 1590992134.987, 1590992134.988, 1590992134.988, 1590992134.988, 1590992134.989
512, 0, 0, 12, 1590992133.003, 1590992133.003, 1590992133.004, 1590992133.004, 1590992135.317, 1590992135.957, 1590992135.958, 1590992135.958, 1590992135.959, 1590992135.96
512, 0, 0, 13, 1590992133.43, 1590992133.431, 1590992133.431, 1590992133.431, 1590992136.293, 1590992136.31, 1590992136.311, 1590992136.311, 1590992136.312, 1590992136.313
512, 0, 0, 14, 1590992134.118, 1590992134.12, 1590992134.121, 1590992134.121, 1590992136.315, 1590992137.046, 1590992137.047, 1590992137.047, 1590992137.047, 1590992137.048
512, 0, 0, 15, 1590992134.989, 1590992134.989, 1590992134.99, 1590992134.99, 1590992137.483, 1590992137.81, 1590992137.813, 1590992137.813, 1590992137.814, 1590992137.815
512, 0, 0, 16, 1590992135.96, 1590992135.961, 1590992135.962, 1590992135.962, 1590992138.151, 1590992138.395, 1590992138.403, 1590992138.404, 1590992138.407, 1590992138.409
512, 0, 0, 17, 1590992136.313, 1590992136.313, 1590992136.314, 1590992136.314, 1590992138.726, 1590992139.24, 1590992139.241, 1590992139.241, 1590992139.242, 1590992139.243
512, 0, 0, 18, 1590992137.048, 1590992137.048, 1590992137.049, 1590992137.049, 1590992139.605, 1590992139.73, 1590992139.731, 1590992139.731, 1590992139.731, 1590992139.732
512, 0, 0, 19, 1590992137.815, 1590992137.816, 1590992137.817, 1590992137.817, 1590992139.736, 1590992140.43, 1590992140.431, 1590992140.431, 1590992140.432, 1590992140.432
512, 0, 0, 20, 1590992138.409, 1590992138.414, 1590992138.417, 1590992138.42, 1590992140.751, 1590992141.282, 1590992141.282, 1590992141.282, 1590992141.283, 1590992141.284
512, 0, 0, 21, 1590992139.243, 1590992139.244, 1590992139.246, 1590992139.246, 1590992144.334, 1590992144.334, 1590992144.346, 1590992144.346, 1590992144.347, 1590992144.347
512, 0, 0, 22, 1590992139.732, 1590992139.734, 1590992139.735, 1590992139.735, 1590992144.654, 1590992145.446, 1590992145.447, 1590992145.447, 1590992145.448, 1590992145.448
512, 0, 0, 23, 1590992140.432, 1590992140.433, 1590992140.434, 1590992140.434, 1590992145.76, 1590992146.151, 1590992146.152, 1590992146.152, 1590992146.152, 1590992146.153
512, 0, 0, 24, 1590992141.284, 1590992144.153, 1590992144.155, 1590992144.155, 1590992146.557, 1590992146.788, 1590992146.79, 1590992146.79, 1590992146.79, 1590992146.791
512, 0, 0, 25, 1590992144.347, 1590992144.353, 1590992144.354, 1590992144.354, 1590992146.793, 1590992147.982, 1590992147.983, 1590992147.983, 1590992147.983, 1590992147.984
512, 0, 0, 26, 1590992145.448, 1590992145.449, 1590992145.45, 1590992145.45, 1590992148.393, 1590992148.441, 1590992148.442, 1590992148.442, 1590992148.442, 1590992148.443
512, 0, 0, 27, 1590992146.153, 1590992146.153, 1590992146.154, 1590992146.154, 1590992148.777, 1590992149.182, 1590992149.183, 1590992149.183, 1590992149.184, 1590992149.185
